Order ID,Order Date,Ship Date,Customer Name,City,State,Category,Product Name,Sales,Quantity,Profit,Shipping Days,Year,Month,Profit Margin,Status
CA-2013-138688,2013-06-13,2013-06-17,Darrin Van Huff,Los Angeles,California,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,6.8714,4,2013,6,47.0,Profit
CA-2011-115812,2011-06-09,2011-06-14,Brosina Hoffman,Los Angeles,California,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,14.1694,5,2011,6,28.999999999999996,Profit
CA-2011-115812,2011-06-09,2011-06-14,Brosina Hoffman,Los Angeles,California,Art,Newell 322,7.28,4,1.9656,5,2011,6,27.0,Profit
CA-2011-115812,2011-06-09,2011-06-14,Brosina Hoffman,Los Angeles,California,Phones,Mitel 5320 IP Phone VoIP phone,907.152,4,90.7152,5,2011,6,10.0,Profit
CA-2011-115812,2011-06-09,2011-06-14,Brosina Hoffman,Los Angeles,California,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,5.7825,5,2011,6,31.249999999999993,Profit
CA-2011-115812,2011-06-09,2011-06-14,Brosina Hoffman,Los Angeles,California,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,34.47,5,2011,6,30.0,Profit
CA-2011-115812,2011-06-09,2011-06-14,Brosina Hoffman,Los Angeles,California,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,85.3092,5,2011,6,5.0,Profit
CA-2011-115812,2011-06-09,2011-06-14,Brosina Hoffman,Los Angeles,California,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,68.3568,5,2011,6,7.500000000000001,Profit
CA-2013-161389,2013-12-06,2013-12-11,Irene Maddox,Seattle,Washington,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,132.5922,5,2013,12,32.49999999999999,Profit
CA-2011-167164,2011-05-13,2011-05-15,Alejandro Grove,West Jordan,Utah,Storage,Fellowes Super Stor/Drawer,55.5,2,9.99,2,2011,5,18.0,Profit
CA-2011-143336,2011-08-27,2011-09-01,Zuschuss Donatelli,San Francisco,California,Art,Newell 341,8.56,2,2.4824,5,2011,8,28.999999999999996,Profit
CA-2011-143336,2011-08-27,2011-09-01,Zuschuss Donatelli,San Francisco,California,Phones,Cisco SPA 501G IP Phone,213.48,3,16.011,5,2011,8,7.5,Profit
CA-2011-143336,2011-08-27,2011-09-01,Zuschuss Donatelli,San Francisco,California,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,7.384,5,2011,8,32.5,Profit
CA-2012-106320,2012-09-25,2012-09-30,Emily Burns,Orem,Utah,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,240.2649,5,2012,9,23.0,Profit
CA-2013-121755,2013-01-16,2013-01-20,Eric Hoffmann,Los Angeles,California,Binders,Wilson Jones Active Use Binders,11.648,2,4.2224,4,2013,1,36.25000000000001,Profit
